ਮੁਸਕਰਾਹਟ புன்னகை
ਬਿਸਤਰਾ படுக்கை
ਸਿਰਹਾਣਾ தலையணை
ਕੋਨਾ மூலையில்
ਅਮਰੂਦ கொய்யா
ਅਖਰੋਟ வால்நட்
ਨਾਸ਼ਪਾਤੀ பேரிக்காய்
ਤਰਬੂਜ தர்பூசணி
ਕੰਮ வேலை
ਦਫ਼ਤਰ அலுவலகம்
ਪੌੜੀਆਂ படிக்கட்டு
ਜੁਰਾਬਾਂ சாக்ஸ்
ਪਿੰਨ முள்
ਲੱਕੜ மரம்
ਕੰਧ சுவர்
ਹੈਂਡਲ கைப்பிடி
ਤਾਲਾ பூட்டு
ਪਰਸ பணப்பை
ਬੈਗ பை
ਚੇਨ சங்கிலி
ਜੇਬ பாக்கெட்
ਰਿੰਗ மோதிரம்
ਹਾਰ கழுத்தணி
ਮੁੰਦਰਾ காதணிகள்
ਮੋਰ மயில்
ਬਾਂਦਰ குரங்கு
ਸ਼ੇਰ சிங்கம்
ਸ਼ੇਰ புலி
ਲੂੰਬੜੀ நரி
ਮੱਝ எருமை
ਗਾਂ மாடு
ਕੁੱਤਾ நாய்
ਬਿੱਲੀ பூனை
ਚੂਹਾ எலி
ਗਿਲਹਰੀ அணில்
ਪੂਛ வால்
ਆਰਾਮ ஓய்வெடுக்கிறது
ਮਾਰਨਾ கொல்ல
ਬਚਾਓ சேமிக்க
ਪੰਛੀ பறவைகள்
ਕਾਂ காகம்
ਕਬੂਤਰ புறா
ਤੋਤਾ கிளி
ਪੈਂਥਰ சிறுத்தை
ਘੋੜਾ குதிரை
ਊਠ ஒட்டகம்
ਹਾਥੀ யானை
ਕੀੜੀਆਂ எறும்புகள்
ਭਰਵੱਟੇ புருவங்கள்
ਇੱਲ கழுகு
ਉੱਲੂ ஆந்தை
ਸੱਪ பாம்பு
ਮੱਛੀ மீன்
ਬੱਕਰੀ வெள்ளாடு
ਵਿੰਡੋ ஜன்னல்
ਹਾਲ மண்டபம்
ਦੁੱਧ பால்
ਮੂੰਗਫਲੀ வேர்க்கடலை
ਰੋਟੀ ரொட்டி
ਗੈਸ வாயு
ਹਵਾ காற்று
ਸਮੁੰਦਰ கடல்
ਸਮੁੰਦਰ கடல்
ਦੂਰ இதுவரை
ਨੇੜੇ அருகில்
ਸਿਖਰ மேல்
ਥੱਲੇ கீழே
ਸਹੀ சரி
ਰਹਿਣਾ தங்க
ਭੋਜਨ உணவு
ਖਾਓ சாப்பிடு
ਕਰੀ கறி
ਚਮਚਾ கரண்டி
ਲੂਣ உப்பு
ਖੰਡ சர்க்கரை
ਪਲੇਟ தட்டு
ਕੱਟੋ வெட்டு
ਅੰਕ இலக்கங்கள்
ਐਤਵਾਰ ஞாயிற்றுக்கிழமை
ਸੋਮਵਾਰ திங்கட்கிழமை
ਮੰਗਲਵਾਰ செவ்வாய்கிழமை
ਬੁੱਧਵਾਰ புதன்
ਵੀਰਵਾਰ வியாழன்
ਸ਼ੁੱਕਰਵਾਰ வெள்ளி
ਸ਼ਨੀਵਾਰ சனிக்கிழமை
ਜਨਵਰੀ ஜனவரி
ਫਰਵਰੀ பிப்ரவரி
ਮਾਰਚ அணிவகுப்பு
ਅਪ੍ਰੈਲ ஏப்ரல்
ਮਈ கூடும்
ਜੂਨ ஜூன்
ਜੁਲਾਈ ஜூலை
ਅਗਸਤ ஆகஸ்ட்
ਸਤੰਬਰ செப்டம்பர்
ਅਕਤੂਬਰ அக்டோபர்
ਨਵੰਬਰ நவம்பர்
ਦਸੰਬਰ டிசம்பர்
ਭਾਵਨਾਤਮਕ உணர்ச்சி
ਹੰਝੂ கண்ணீர்
ਹਾਸਾ சிரிக்கவும்
ਰੋਲ உருட்டவும்
ਛਾਲ குதிக்க
ਉੱਚ உயர்
ਘੱਟ குறைந்த
ਵਿਸ਼ਾਲ மிகப்பெரிய
ਦੇਣਾ கொடுக்க
ਲੈਣਾ எடுத்துக்கொள்
ਨੀਂਦ தூங்கு
ਜਾਗੋ எழுந்திரு
ਪੀਓ பானம்
ਚਾਹ தேநீர்
ਦਹੀਂ தயிர்
ਨਿੰਬੂ எலுமிச்சை
ਮਿਰਚ குளிர்ச்சியான
ਕਟੋਰਾ கிண்ணம்
ਬੈਠਣਾ உட்கார்ந்து
ਖੜ੍ਹੇ நின்று
ਕਰੇਲਾ பாகற்காய்
ਲੌਕੀ சுரைக்காய்
ਖਾਣਾ உண்ணுதல்
ਸੌਣਾ தூங்குகிறது
ਤਲ਼ਣਾ வறுக்கப்படுகிறது
ਧੱਕਣਾ தள்ளுகிறது
ਖਿੱਚਣਾ இழுத்தல்
ਬਰਤਨ பாத்திரங்கள்
ਸਾਬਣ வழலை
ਰਗੜਨਾ தேய்த்தல்
ਚਾਕੂ கத்தி
ਕੈਚੀ கத்தரிக்கோல்
ਘੜੀ பார்க்க
ਸਮਾਂ நேரம்
ਤਾੜੀ கைதட்டல்
ਮੁਕਾਬਲਾ போட்டி
ਅਧਿਐਨ படிப்பு
ਸਿਖਾਓ கற்பிக்கின்றன
ਲਾਇਬ੍ਰੇਰੀ நூலகம்
ਗਲਾਸ கண்ணாடி
ਡੱਬਾ பெட்டி
ਬਾਲਟੀ வாளி
ਮੱਗ குவளை
ਹੋਲਡ பிடி
ਖੁੱਲਾ திறந்த
ਸੁੰਦਰ அழகு
ਇਮਾਨਦਾਰ நேர்மையான
ਮੌਤ இறப்பு
ਜੀਵਨ வாழ்க்கை
ਬੱਚੇ குழந்தைகள்
ਬੱਚਾ குழந்தை
ਚਲਾਕ புத்திசாலி
ਈਰਖਾ வைராக்கியமுள்ள
ਕਿਸਮ கருணை
ਹਮਲਾਵਰ முரட்டுத்தனமான
ਗੁੱਸੇ கோபம்
ਸੋਚ யோசிக்கிறேன்
ਲਾਪਰਵਾਹੀ கவனக்குறைவான
ਦਾਦਾ தாத்தா
ਦਾਦੀ பாட்டி
ਜਾਨਵਰ விலங்குகள்
ਇਨਸਾਨ மனிதர்கள்
ਜੱਜ நீதிபதிகள்
ਖਿਡਾਰੀ வீரர்கள்
ਡਾਕਟਰ மருத்துவர்கள்
ਆਵਾਜ਼ ஒலி
ਪਿਆਰ அன்பு
ਪਰੇਸ਼ਾਨ எரிச்சல்
ਹਮਦਰਦ இரக்கமுள்ள
ਸਖ਼ਤ கடினமான
ਗਣਿਤ கணிதம்
ਵਿਗਿਆਨ அறிவியல்
ਪਾਰਕ பூங்கா
ਕੁਰਸੀ நாற்காலி
ਵਾਹਨ வாகனம்
ਮੁੱਠੀ முஷ்டி
ਤਿਤਲੀ வண்ணத்துப்பூச்சி
ਕੀੜੇ பூச்சிகள்
ਮੂੰਹ வாய்
ਜੀਭ நாக்கு
ਦੰਦ பற்கள்
ਠੋਡੀ கன்னம்
ਮਹਿਲ அரண்மனை
ਤੇਲ எண்ணெய்
ਪੱਖੇ விசிறி
ਰੋਸ਼ਨੀ ஒளி
ਕੰਬਲ போர்வை
ਮੁੱਛਾਂ மீசை
ਉਚਾਈ உயரம்
ਭਾਰ எடை
ਸੱਚਾਈ உண்மை
ਝੂਠ பொய்
ਗਲਤ தவறு
ਰੱਖੋ வை
ਪਾਓ வைத்தது
ਪੱਤੇ இலை
ਕੇਲਾ வாழை
ਟਾਇਲਟ கழிப்பறை
ਗਤੀ வேகம்
ਹੌਲੀ மெதுவாக
ਲਿਖੋ எழுது
ਪੜ੍ਹੋ படி
ਪਿੰਡਾਂ கிராமம்
ਸ਼ਹਿਰ நகரம்
ਸ਼ਹਿਰ நகரம்
ਪੂੰਜੀ மூலதனம்
ਧੋਣਾ கழுவுதல்
ਸੁੱਕਾ உலர்
ਗਿੱਲਾ ஈரமான
ਮੀਂਹ மழை
ਮੌਸਮ வானிலை
ਅੱਧੇ பாதி
ਪੂਰਾ முழு
ਕਲਾ கலை
ਪ੍ਰਤਿਭਾ திறமை
ਸਨਮਾਨ மரியாதை
ਸਤਿਕਾਰ மரியாதை
ਨਿਸ਼ਾਨ குறி
ਸਾਥੀ பங்குதாரர்
ਪਤੀ கணவன்
ਪਤਨੀ மனைவி
ਰਿਸ਼ਤਾ உறவு
ਮਾਪੇ பெற்றோர்
ਬੱਚਾ குழந்தை
ਹਨੇਰ இருள்
ਗਿਣਤੀ எண்ணிக்கை
ਛੂਹ தொடுதல்
ਹਵਾ காற்று
ਅੱਗ தீ
ਸਾੜ எரிக்க
ਚੰਗਾ குணமாகும்
ਸੱਟ காயம்
ਖੂਨ இரத்தம்
ਦਰਦ வலி
ਵਿਸ਼ਵਾਸ நம்பு
ਗੱਦਾਰ துரோகி
ਲੱਭੋ கண்டுபிடிக்க
ਬੁਰਾ மோசமான
ਚੰਗਾ நல்ல
ਅੰਦੋਲਨ இயக்கம்
ਪੱਤਰ கடிதம்
ਕਦਮ படிகள்
ਪਤਾ முகவரி
ਇੱਕ ஒன்று
ਦੋ இரண்டு
ਤਿੰਨ மூன்று
ਚਾਰ நான்கு
ਪੰਜ ஐந்து
ਛੇ ஆறு
ਸੱਤ ஏழு
ਅੱਠ எட்டு
ਨੌਂ ஒன்பது
ਪੱਟੂ பத்து
ਥੱਲੇ கீழ்
ਫੜਨਾ பிடி
ਸਾਹ மூச்சு
ਲੰਬਾਈ நீளம்
ਚੁੜਾਈ அகலம்
ਭਾਵਨਾ உணர்வு
ਮੈਮੋਰੀ நினைவு
ਲੜਾਈ சண்டை
ਸਰਦੀ குளிர்காலம்
ਗਰਮੀਆਂ கோடை
ਬਸੰਤ வசந்த
ਭੇਜੋ அனுப்பு
ਅਨੁਮਾਨ யூகிக்கிறேன்
ਲਹਿਰਾਂ அலைகள்
ਲਹਿਰ அலை
ਦੁਬਾਰਾ மீண்டும்
ਪਾਰ குறுக்கு
ਸਿੱਧਾ நேராக
ਸੁਪਨਾ கனவு
ਅਸਲੀ உண்மையான
ਨਕਲੀ போலி
ਦਿਨ நாள்
ਹਫ਼ਤਾ வாரம்
ਮਹੀਨਾ மாதம்
ਸਾਲ ஆண்டு
ਤਾਰੀਖ਼ தேதி
ਹੋਰ மேலும்
ਘੱਟ குறைவாக
ਉੱਪਰ வரை
ਕਸਰਤ உடற்பயிற்சி
ਸਿਹਤ ஆரோக்கியம்
ਰੋਗ நோய்
ਕਮਜ਼ੋਰ பலவீனமான
ਕਵਿਤਾ கவிதை
ਕਵੀ கவிஞர்
ਲੇਖਕ எழுத்தாளர்
ਲੇਖਕ நூலாசிரியர்
ਡਾਂਸਰ நடனமாடுபவர்
ਗਾਇਕ பாடகர்
ਕਲਾਕਾਰ கலைஞர்
ਹਸਪਤਾਲ மருத்துவமனை
ਸੁਣੋ கேளுங்கள்
ਗਾਓ பாட
ਡਾਂਸ நடனம்
ਮੇਖ ஆணி
ਪ੍ਰਦਰਸ਼ਨ நிகழ்த்து
ਸ਼ਾਨਦਾਰ சிறந்த
ਲਗਨ விடாமுயற்சி
ਦ੍ਰਿੜ੍ਹਤਾ உறுதியை
ਭੂਰਾ பழுப்பு
ਚਲਾਉਣਾ ஓட்டு
ਚੱਕਰ மிதிவண்டி
ਰੱਬ இறைவன்
ਸਵਰਗ சொர்க்கம்
ਬੁਣਾਈ நெசவு
ਸੂਰਜ சூரியன்
ਚੰਦ நிலா
ਤਾਰੇ நட்சத்திரங்கள்
